k	ReX_[k]	ImX_[k]	frequency
0	-5.0000000744176986E-08	-0	0.00000
1	1.496152663094108E-08	1.0000000203164063	1.00000
2	3.0000000152100426	1.9999999605426269	2.00000
3	-1.4760084265930118E-08	4.000000040367514	3.00000
4	5.00000000208761	-1.1718213555056423E-08	4.00000
5	-3.186192312654157E-08	-3.138180951545166E-08	5.00000
6	7.40861093362355E-09	-9.786138495115892E-09	6.00000
7	3.9513365415189126E-08	-8.497034711396623E-09	7.00000
8	7.555020154370595E-08	-2.4430095262317764E-08	8.00000
9	6.584298031242497E-09	2.0933254640809195E-08	9.00000
10	4.381965993616177E-08	-2.6286558512111925E-08	10.00000
11	5.672194269834563E-10	-2.5267707410847608E-08	11.00000
12	-1.6852329078886895E-08	1.564873556958446E-08	12.00000
13	-9.093736714760326E-09	3.0701617923512E-08	13.00000
14	2.2239868116002982E-08	-3.876297817839714E-08	14.00000
15	-3.969174903417638E-08	-2.0604971844306873E-08	15.00000
16	4.83486686331247E-08	2.0761383527911904E-08	16.00000
17	2.60175776922722E-08	-2.8982563211599198E-08	17.00000
18	-1.6887352431993464E-08	-6.958542813961799E-08	18.00000
19	2.4133209954868562E-08	-1.0253957505312884E-08	19.00000
20	-1.3819657889158065E-08	-4.2532536035366774E-08	20.00000
21	-2.4236930857846062E-08	-5.844880115901674E-08	21.00000
22	-1.1706875375327996E-07	-1.8500731311377194E-08	22.00000
23	2.4344816700327954E-08	-9.884383040059674E-08	23.00000
24	1.4883464752868391E-08	4.0668874667915136E-08	24.00000
25	2.0000006565988136E-08	-4.000000586756869E-08	25.00000
26	-3.5557858724111213E-09	2.4147377786221114E-09	26.00000
27	-8.295086499909843E-08	5.401809479721464E-08	27.00000
28	-4.8861207257999696E-09	2.718784148925124E-08	28.00000
29	4.0326840293758434E-08	4.200553011202146E-08	29.00000
30	6.618033056682293E-08	4.2532538255812823E-08	30.00000
31	-2.9134943906328202E-08	2.7640493449609948E-09	31.00000
32	1.3429057306169056E-08	4.6337503150084555E-08	32.00000
33	7.327498196652016E-08	-7.24421558651045E-08	33.00000
34	-1.2331609759996808E-08	3.251242468138571E-08	34.00000
35	7.331075906336082E-09	-4.411636851386902E-08	35.00000
36	-3.274007323028627E-08	2.0033447167833174E-08	36.00000
37	-3.76819058622857E-08	2.5531079241858377E-08	37.00000
38	-7.054154062657858E-08	-1.0353439137134046E-08	38.00000
39	-7.225410405098387E-08	-2.545295147982074E-08	39.00000
40	-3.618034414287763E-08	2.6286551531029547E-08	40.00000
41	5.739628642587036E-08	-6.234950303607434E-08	41.00000
42	4.257778778438137E-08	-4.893290816987417E-08	42.00000
43	2.0795905797399426E-09	-5.1495860065031704E-08	43.00000
44	-6.922706081269325E-08	1.1844163898544479E-08	44.00000
45	4.4222589803410985E-08	6.6604583626173054E-09	45.00000
46	3.294870234427094E-08	1.2957296768867365E-08	46.00000
47	-2.0743747448648265E-08	4.4415085165283585E-08	47.00000
48	6.94065940720634E-08	5.9228488706875024E-08	48.00000
49	-1.834343372308922E-08	4.4885743522016244E-09	49.00000
50	-1.0000000028043132E-08	6.395557062385009E-15	50.00000
